Input Output Table 2015-16 (₹ lakhs),,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,,,,
,,Paddy,Wheat,Jowar,Bajra,Maize,Gram,Pulses,Sugarcane,Groundnut,Coconut,"Other
 oilseeds",Jute,Cotton,Tea,Coffee,Rubber,Tobacco,Fruits,Vegetables,Other crops,"Milk and
 milk","Poultry &
 Eggs","Other liv.st.
 produ.","Animal
 Services","Forestry and
 Logging","Fishing &
 Aquaculture","Coal and
 Lignite","Crude
 petroleum",Natural Gas,Iron ore,"Manganese
 ore",Bauxite,Copper ore,"Other
 Metallic",Lime stone,Mica,"Other non
 metallic",Sugar,"Khandsari,
 boora","Hydrogenate
 d","Edible oils
 other than","Tea and
 coffee","Miscellaneou
 s food","Grain Mill
 products,",Beverages,"Tobacco
 Products","Khadi,
 cotton","Cotton
 textiles","Woolen
 textiles",Silk textiles,"Art silk,
 synthetic","Jute, hemp,
 mesta","Carpet
 weaving","Miscellaneou
 s textile","Ready made
 garments","Wood and
 wood","Paper, Paper
 products and","Publishing,
 printing and","Furniture &
 Fixtures","Leather
 footwear","Leather and
 leather","Rubber
 products","Plastic
 products","Petroleum
 products","Coal tar
 products","Inorganic
 heavy","Organic
 heavy",Fertilizers,Pesticides,"Paints,
 varnishes","Soaps,
 cosmetics &","Synthetic
 fibers, resin","Other
 chemicals","Drugs and
 medicine","Structural
 clay products",Cement,"Other non-
 metallic","Iron, steel
 and ferro","Iron and
 steel casting","Iron and
 steel","Non ferrous
 basic metals","Hand tools,
 hardware","Miscellaneou
 s metal","Tractors and
 agri.","Industrial
 machinery(F","Industrial
 machinery(o","Machine
 tools","Other non-
 electrical","Electrical
 industrial","Electrical
 wires &",Batteries,"Other
 electrical","Electrical
 appliances","Electronic
 equipments(i","Watches and
 clocks","Communicati
 on","Ships and
 boats","Rail
 equipments","Motor
 vehicles","Motor cycles
 and scooters","Bicycles,
 cycle-","Other
 transport","Aircraft &
 spacecraft","Medical,
 precision&o","Jems &
 jewelry","Miscellaneou
 s","Construction
 and",Electricity,"Water
 Supply","Railway
 Transport","Land
 transport","Water
 Transport",Air transport,"Supportive
 and Auxiliary","Storage and
 warehousing","Communicati
 on services",Trade,"Hotels &
 Restaurant","Financial
 services","Insurance
 services","Ownership
 of dwellings","Education
 and research","Medical and
 Health","Legal
 services","Computer
 related","Other
 Business","Real estate
 services","Renting of
 machinery &","Community,
 social and","Other
 services","Public
 administrati",IIUSE,PFCE,GFCE,GFCF
1,Paddy,1043496,12701,35,1,48,17773,54046,0,518,0,389,0,0,0,0,0,0,0,4270,264143,0,857493,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,876,324,98591,874,731096,13269746,32284,1,0,0,0,0,0,11,0,0,1,6,64,31,8,0,0,0,11,0,0,1616,9244,6,1,1,1363,1,23300,1205,0,0,0,0,0,0,0,0,179,0,0,111,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,269,7277,0,0,11,0,0,0,0,0,823187,356400,0,0,0,0,0,0,0,0,0,0,0,0,1120330,18736000,4041840,0,0
2,Wheat,98107,515592,16,1,75,44,62194,0,6,0,129,0,0,0,0,0,0,0,37576,157586,56423,0,127678,53961,0,0,0,0,0,0,0,0,0,0,0,0,0,6326,1048,514,20042,1374,1059516,1984784,7462,2,0,0,6,0,10,20,101,25,156,0,18,4,62,0,0,2,9,0,0,2747,12822,13,420,67,11026,8,36798,1937,0,0,0,0,0,0,0,0,282,0,0,175,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1798,419,11060,0,0,705,0,0,0,0,0,217919,227543,0,0,0,0,0,0,0,0,0,0,0,0,2922124,7638742,6164272,0,0
3,Jowar,40,138,9852,0,5,0,96,0,0,0,0,0,0,0,0,0,0,0,0,4311,0,388858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,88,18,431,91,65223,0,56470,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,309,10803,1,22,26,185,50,3255,125,0,0,0,0,0,0,0,0,19,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,38,757,0,0,0,0,0,0,0,0,9583,0,0,0,0,0,0,0,0,0,0,0,0,0,4823,555821,943642,0,0
4,Bajra,43,150,0,1594,5,0,104,0,0,0,0,0,0,0,0,0,0,0,0,789,22150,438604,12034,687,0,3380,0,0,0,0,0,0,0,0,0,0,0,80,102,19,468,99,71023,243489,78354,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,27,0,0,0,4933,16590,975,99,11,211,139,3131,150,0,0,0,0,0,0,0,0,20,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,45,858,0,0,356,0,0,0,0,0,13085,290,0,0,0,0,0,0,0,0,0,0,0,0,14984,929237,602331,0,0
5,Maize,93,322,1,0,8046,1,230,0,1,0,14,0,0,0,0,0,0,0,1,1967,4818,477839,14705,0,0,3380,0,0,0,0,0,0,0,0,0,0,0,133,163,302,2887,211,150705,243489,10190,0,0,2,0,0,4,16,0,13,17,1,5,0,0,0,0,1,86,0,0,774,4837,1,58,28,465,35,6456,2532,0,0,1,0,0,0,0,0,44,0,0,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,296,76,1849,0,0,0,0,0,0,0,0,15625,3,0,0,0,0,0,0,0,0,0,0,0,0,25902,978676,1526309,0,0
6,Gram,586,30679,7,0,4,37124,2618,0,3,0,99,0,0,0,0,0,0,0,341,27495,212212,0,260426,78764,0,0,0,0,0,0,0,0,0,0,0,0,0,373,59,491,1416,78,61220,42852,601,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,72,13,0,0,13058,6931,2573,541,128,5135,617,4624,115,0,0,0,0,0,0,0,0,17,30,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,25,783,0,0,34113,0,0,0,0,0,14131,2442,0,0,0,0,0,0,0,0,0,0,0,0,64085,907006,2335658,0,0
7,Pulses,28093,12242,6,0,33,879,92797,0,4,0,93,0,0,0,0,0,0,0,400,23270,364438,0,66503,79239,0,0,0,0,0,0,0,0,0,0,0,0,0,458,456,1196,5603,598,482144,1919616,4550,18,0,0,0,0,2,8,0,2,4,1,6,0,0,0,0,6,108,1,0,3850,8982,43,634,518,1145,1395,29386,1134,0,0,0,0,0,0,0,0,127,1,0,95,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,782,187,5044,0,0,13132,0,0,0,0,0,306115,520519,0,0,0,0,0,0,0,0,0,0,0,0,313321,4289200,1798776,0,0
8,Sugarcane,464,3010,4,1,47,4,964,178040,17,0,416,0,3,0,0,0,0,0,14,5539,197622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736110,1077522,8071,10474,861,643801,0,407932,274240,0,32,0,0,0,202,0,166,178,0,6,0,0,0,0,11,323,0,0,8671,328678,364,983,171,12065,48,32814,33682,0,0,13,0,0,0,0,0,175,3,0,110,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,1509,5856,444517,0,0,0,0,0,0,0,0,721017,90039,0,0,0,0,0,0,0,0,0,0,0,0,0,7227070,260486,0,0
9,Groundnut,12,43,0,0,2,0,305,0,14621,18,4959,0,32,0,0,0,0,0,0,6265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,18284,226601,28,1338770,14181,145,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,192,580,1,108,63,16825,27,828,55,0,0,0,0,0,0,0,0,6,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,1788,70870,0,0,0,0,0,0,0,0,413749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130313,529553,0,0
10,Coconut,3,10,0,0,0,0,25,0,13,98449,325,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6162,227468,6,6452,0,47,45,0,16,0,0,689,2664,404,46,5054,5,12,0,0,1,2,14,13,0,0,3748,4603,24,1005,385,29398,148,901,52,370,0,32,0,10,3,0,0,199,1,0,6,10,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,247,533,12432,0,0,0,0,0,0,0,0,81384,202,0,0,0,0,0,0,0,0,0,0,0,0,0,483706,1535589,0,0
11,Other oilseeds,119,413,1,0,15,1,1388,0,811,39,116744,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,206,376932,2707291,272,262335,200014,2233,0,0,11,0,0,2,85,0,58,64,0,7,0,0,0,0,95,196,1,0,20182,19665,3173,1466,4622,46932,1681,20510,11582,0,0,5,0,0,0,0,0,61,37,0,49,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,2360,4080,187085,0,0,0,0,0,0,0,0,1030133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5023364,1978445,0,0
12,Jute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,166,7710,245,4903,105658,405566,62753,20856,51950,1240,104,51,14,1,0,185,544,0,0,1082,2744,0,152,154,29,510,3321,4,1,0,42,0,0,1,0,0,16,0,1,24,38,67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,11,50,41,1545,0,0,0,0,0,0,0,0,38121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709996,0,0,0
13,Cotton,0,0,0,0,0,0,11,0,8,0,195,0,78663,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3692,23649,0,686,0,81,0,39595,4263680,188105,28290,493075,9182,2827,520049,469310,32,14,0,0,4,18,133,11302,0,0,772,808,14,27,9,391,64840,541,1355,0,0,1,0,0,0,0,3,83,7,0,46,19,212,59,2,1,0,0,0,0,0,0,0,0,0,0,0,0,476,8,222,39,3261,0,0,0,0,0,0,0,0,26542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6232720,0,0,0
14,Tea,10,33,0,0,1,0,23,0,0,0,0,0,0,55072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,4,104,682550,46333,0,109,0,0,0,0,0,0,2,0,70,399,0,0,0,0,0,0,0,2,0,0,79,342,0,6,1,2853,144,657,290,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,76,1184,0,0,0,0,0,0,0,0,368124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158539,0,0,0
15,Coffee,8,28,0,0,1,0,20,0,0,0,0,0,0,0,98235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,4,88,459240,33900,0,78,0,0,0,0,0,0,0,0,46,268,0,0,0,0,0,0,0,0,0,0,34,159,0,0,0,1917,97,493,25,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,52,825,0,0,0,0,0,0,0,0,247569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843143,0,0,0
16,Rubber,2,8,0,0,0,0,5,0,0,0,0,0,0,0,0,4141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,25,5,3695,0,25,0,0,60,0,7,4213,3,7,4921,4595,710,3302,80,16,1458,3092,137196,62455,0,0,36758,49920,0,1161,15532,222,17340,18820,38,1,0,23,0,3,30,0,74,1694,1012,346,2129,5032,5170,9,11,3,1,0,0,0,0,1,45,475,18,0,2,0,770,13,3051,1670,527,0,0,0,0,0,0,0,0,156329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548260,0,0,0
17,Tobacco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5813,0,0,1033471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,537,1899,0,0,0,3461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073263,0,0,0
18,Fruits,2658,9252,28,5,331,30,6449,0,1,0,13,0,0,0,0,0,0,88062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7065,7643,1426,29094,6100,4351965,0,1199933,0,0,11,0,0,102,69,0,40,125,18,159,3,0,0,1,32,1696,7,0,19841,270336,211,722,3199,14553,653,172244,9041,0,0,1,0,0,0,0,0,1278,7,0,821,84,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,7973,2122,50362,0,0,0,0,0,0,0,0,404223,81284,0,0,0,0,0,0,0,0,0,0,0,0,99028,6850780,12480958,0,0
19,Vegetables,46,161,0,0,6,1,113,0,1,0,15,0,0,0,0,0,0,0,77596,0,0,0,21466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,157,306,2743,106,76065,0,12511,0,0,2,0,0,120,2,0,42,1962,23,98,3,0,0,2,56,2006,2,0,3500,8331,19,962,947,9443,1679,15311,284,6,0,2,0,1,1,0,2,67,6,2,30,160,85,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,16,0,174,90,1066,0,0,0,0,0,0,0,0,15356,501172,0,0,0,0,0,0,0,0,0,0,0,0,464619,1219240,23367700,0,0
20,Other crops,7711,11875,1211,0,20,91,47200,0,269,2,10888,0,9,0,0,0,0,0,10231,1816784,5597739,73198,4958494,3416763,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,574,26969,121446,259,203656,19980,62482,24130,1,425,14,4176,922,960,809,11294,15464,11029,33265,1803,450,3,10,398,3315,24,0,94142,135741,945,23169,56855,42698,44604,409076,12897,261,4,422,0,2,14,0,11,726,52,14,859,1273,2207,5,0,2,1,0,0,0,189,1,10,128,0,0,1,0,873,28,3744,1978517,111485,284560,0,2350724,0,0,0,0,0,306696,438150,0,0,0,0,0,0,0,0,0,0,0,0,217335,23015844,13717307,0,0
21,Milk and milk products,4519,15726,48,8,563,50,10961,0,0,0,2,0,0,0,0,0,0,0,0,0,318055,6742,16480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7793,9552,2484,59955,12541,8928549,836458,291834,0,0,11,0,0,0,110,0,58,3,0,0,0,0,0,0,5,429,0,0,28000,148693,80,3075,615,90142,22,324369,71270,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,2,13741,6684,50436,0,0,0,0,0,0,0,0,135059,9738683,0,0,0,0,0,0,0,0,0,0,0,0,2830177,23964245,32113455,0,0
22,Poultry & Eggs,79,273,1,0,10,1,190,0,0,0,0,0,0,0,0,0,0,0,0,0,192606,4083,9980,0,0,627695,0,0,0,0,0,0,0,0,0,0,0,135,165,42,1132,218,155183,97881,1780,0,0,1,0,0,0,7,0,5,0,0,0,0,0,0,0,3,40,0,0,1083,3701,56,72,8,464,8,6247,4902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,258,128,895,0,0,0,0,0,0,0,0,3205,2964147,0,0,0,0,0,0,0,0,0,0,0,0,2083831,6160540,4128979,0,0
23,Other liv.st. produ.,336665,26941,62808,14564,93988,1385,56007,27475,39161,92012,105523,14545,129135,27307,53523,6064,901,54893,62160,149560,126437,2675,6545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,1881,482,25908,2442,1783024,310166,21100,0,1,4542,118224,29763,9000,200,1871,48340,3407,94,212,15,5,704607,535658,375333,266513,117,0,798407,621685,102717,65032,84743,51188,409658,1010565,11444,1,0,17,0,4,13,0,2,40,4,6,20,23,348,0,0,0,0,197,65,1,0,0,0,0,0,0,0,0,4635,224,36089,1772521,23781,89727,0,0,0,0,0,0,0,1302265,2658954,0,0,0,0,0,0,0,0,0,0,0,0,432699,15212060,1413997,0,693184
24,Animal Services,1052479,167209,350778,46038,163367,139108,399259,76635,91126,0,370518,51746,348913,0,0,0,10474,351378,505082,1422222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5874720,0,0,0
25,Forestry and Logging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51913,0,0,0,21467,0,0,0,0,0,0,0,0,0,0,0,0,316,400,95,2241,412,467383,62784,6628,528557,1,1152,97,4526,1916,2711,560,15761,439,863232,251218,6150,409080,555,1263,85538,1235613,377,62,54992,245077,117,8607,98206,38188,325335,63015,40062,23114,256,28040,11,753,24828,505,14026,10956,4263,875,1132,13188,5638,603,51,52,17,2654,7073,16,536,108,403,4628,16,1,2454,0,917,192,99005,11266402,4736,2,0,0,0,0,0,0,0,333825,202,0,0,0,0,0,0,0,0,0,0,0,37,826,16748386,6510016,0,0
26,Fishing & Aquaculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289311,0,0,0,0,0,0,0,0,0,0,0,1392,1707,475,10708,2253,1604016,186312,13195,0,0,0,0,0,0,16,0,0,0,0,37,0,0,39,164,0,0,272,12,89738,177275,67,4772,10662,9004,588,56087,308344,0,0,2,0,0,2,0,0,0,0,0,130,0,3,0,0,0,0,9,37,0,0,0,0,0,0,0,0,0,0,0,2492,84,10183,6,0,0,0,0,0,0,0,233197,131600,0,0,0,0,0,0,0,0,0,0,0,0,0,3144193,11916985,0,0
27,Coal and Lignite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14685,0,0,684,47,13545,0,2661,0,0,0,3695,1773,5571,28924,14606,67088,25626,11754,11893,4736,183373,23290,28076,313716,43159,11601,80649,73880,9789,479916,5210,5517,3415,3993,61009,91833,1351007,376653,650812,336248,11659,29907,63659,34977,16953,47639,27171,368726,2799107,606960,1064071,1693583,1798843,1021024,7029,452625,19890,1523,2114,11846,80812,889,43,2193,715,2624,952,6,63,10,1094,5353,364,1641,24,10,10395,88199,51474,15133,3468055,410504,239368,0,0,0,0,0,0,1038524,53,0,0,0,0,0,0,0,0,0,0,0,1,0,19838236,219747,0,0
28,Crude petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47869377,138767,554255,7552560,192817,0,98057,0,357787,460257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12342,0,12159,0,0,0,0,0,0,0,0,290062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57538562,0,0,0
29,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4478222,32082,160450,143666,24102,8219,20971,1621,53990,116748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,191,669,0,1142,0,0,0,0,0,0,0,0,27251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5070230,0,0,0
30,Iron ore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,542,1167,12,4,4112,0,17,0,0,0,134,660,0,0,0,150854,1135065,825838,2102666,591708,1087,300797,1187,0,10361,7479,58950,1955,168,732,251,0,0,0,0,0,641,0,0,0,0,0,49593,0,6653,9946,34019,0,0,0,0,0,0,0,0,613022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5909623,0,0,0
31,Manganese ore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,85,0,0,0,0,0,91,143,0,0,158,58,16,3,5,1,10,45,0,145,16,4003,67741,53829,129215,4662,105,30439,1528,91,6479,6404,33852,58,1,106,13,2621,250,0,47,0,532,1307,18,57,0,0,12090,1252,5883,343,1048,0,0,0,0,0,0,0,0,38636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403388,0,0,0
