Product Name,64 Petroleum products,65 Coal tar products,66 Inorganic heavy,67 Organic heavy,68 Fertilizers,69 Pesticides,"70 Paints, varnishes","71 Soaps, cosmetics &","72 Synthetic fibers, resin"
Paddy,0,0,1616,9244,6,1,1,1363,1
Wheat,0,0,2747,12822,13,420,67,11026,8
Jowar,0,0,309,10803,1,22,26,185,50
Bajra,0,0,4933,16590,975,99,11,211,139
Maize,0,0,774,4837,1,58,28,465,35
Gram,0,0,13058,6931,2573,541,128,5135,617
Pulses,1,0,3850,8982,43,634,518,1145,1395
Sugarcane,0,0,8671,328678,364,983,171,12065,48
Groundnut,0,0,192,580,1,108,63,16825,27
Coconut,0,0,3748,4603,24,1005,385,29398,148
Other oilseeds,1,0,20182,19665,3173,1466,4622,46932,1681
Jute,0,0,1082,2744,0,152,154,29,510
Cotton,0,0,772,808,14,27,9,391,64840
Tea,0,0,79,342,0,6,1,2853,144
Coffee,0,0,34,159,0,0,0,1917,97
Rubber,0,0,36758,49920,0,1161,15532,222,17340
Tobacco,0,0,537,1899,0,0,0,3461,0
Fruits,7,0,19841,270336,211,722,3199,14553,653
Vegetables,2,0,3500,8331,19,962,947,9443,1679
Other crops,24,0,94142,135741,945,23169,56855,42698,44604
Milk and milk products,0,0,28000,148693,80,3075,615,90142,22
Poultry & Eggs,0,0,1083,3701,56,72,8,464,8
Other liv. st. produ.,117,0,798407,621685,102717,65032,84743,51188,409658
Animal services,0,0,0,0,0,0,0,0,0
Forestry and Logging,377,62,54992,245077,117,8607,98206,38188,325335
Fishing & Aquaculture,272,12,89738,177275,67,4772,10662,9004,588
Coal and Lignite,1351007,376653,650812,336248,11659,29907,63659,34977,16953
Crude petroleum,47869377,138767,554255,7552560,192817,0,98057,0,357787
Natural Gas,4478222,32082,160450,143666,24102,8219,20971,1621,53990
Iron ore,12,4,4112,0,17,0,0,0,134
Manganese ore,0,0,158,58,16,3,5,1,10
Bauxite,0,0,404,140,2,24,139,201,14
Copper ore,0,0,0,47,0,0,408,0,3
Other Metallic minerals,0,0,901,791,18,207,904,338,254
Lime stone,6,1,1413,1563,6,97,182,173,12
Mica,0,0,0,0,0,0,0,0,0
Other non metallic minerals,187,34,10585,8195,1109,790,1025,2541,676
Sugar,1,0,15493,36570,13,1588,2276,2704,1125
"Khandsari, boora",0,0,451,28848,1,52,31,980,1
Hydrogenated oil (vanaspati),0,0,373,1268,3,345,91,10600,7
Edible oils other than vanaspati,1,0,26551,35527,44,2239,10686,4164,1380
Tea and coffee processing,0,0,13,120,0,1,9,30,1
Miscellaneous food products,23,1,142635,248168,867,23348,31638,75973,20938
"Grain Mill products, starch and starch products",26,0,56891,81818,2864,42771,36107,35548,35190
Beverages,0,0,13832,24402,29,1658,2247,2419,2344
Tobacco Products,0,0,0,0,0,0,0,0,0
"Khadi, cotton textiles (handlooms)",47,3,4982,17692,0,85,666,494,12006
Cotton textiles,149,12,13813,46580,1,629,2345,1564,52140
Woolen textiles,14,2,4222,6511,0,4,235,131,18960
Silk textiles,5,1,830,1592,0,7,29,0,14044
"Art silk, synthetic fiber textiles",321,35,59468,51146,267,6171,5215,2611,299946
"Jute, hemp, mesta textiles",1309,55,55217,65612,476,12462,19124,64093,17528
Carpet weaving,0,0,44,32,0,3,31,0,223
Miscellaneous textile products,52,11,17718,35571,0,878,10640,233,23638
Ready made garments,60904,12942,13181,26462,0,653,7915,174,17585
Wood and wood products except furniture,22166,606,6250,9558,186,3209,4862,26038,5485
"Paper, Paper products and newsprint",320699,6312,36710,55298,21,4555,5957,3299,11235
"Publishing, printing and allied activities",190473,189,3384,6329,5,1011,425,13833,2036
Furniture & Fixtures,4929,23,157,197,0,31,31,29,638
Leather footwear,0,0,3591,2840,2,339,578,257,25
Leather and leather products,0,0,597,1423,1,66,1316,101,474
Rubber products,61022,505,25200,24079,15,2588,5606,2125,16229
Plastic products,991155,15664,230067,398953,1477,22801,137847,267248,147069
Petroleum products,7382458,47810,490164,546911,42239,37997,70291,73321,141102
Coal tar products,88940,20079,17085,11557,11,779,2108,1692,452
Inorganic heavy chemicals,1224375,106138,2688044,2691832,153932,424435,845404,979333,900245
Organic heavy chemicals,858563,5054,3435757,4382553,63246,575103,697105,1277403,2830589
Fertilizers,1717497,4627,766841,363195,156419,32266,2702,1551,23549
Pesticides,23488,402,518236,722704,2450,628971,67832,32374,4253
"Paints, varnishes and lacquers",14395,97,35243,47684,37,6663,118169,32443,17193
"Soaps, cosmetics & glycerin",13375,26,34661,81404,218,28493,36601,638900,9898
"Synthetic fibers, resin",40528,277,216444,283173,30,9336,116951,11661,401713
Other chemicals,607193,63688,306831,418602,2132,62802,266315,897592,272386
Drugs and medicine,0,0,0,0,0,0,0,0,0
Structural clay products,21,6,8342,1033,0,14,34,2,42
Cement,4296,187,5064,1848,3,224,3147,36,707
Other non-metallic mineral prods.,4213,775,15493,10982,65,1922,4449,10065,2635
"Iron, steel and ferro alloys",0,0,9394,2604,4,7571,4585,963,5279
Iron and steel casting & forging,0,0,97659,46880,45,12074,26477,12958,114895
Iron and steel foundries,1967136,0,16842,7450,13,2637,16168,2920,31905
Non ferrous basic metals (including alloys),55,10,139692,147226,156,22026,70547,10442,23947
"Hand tools, hardware",344202,65271,52658,55498,59,8303,26594,3936,9027
Miscellaneous metal products,23407,5477,9046,12190,1,6400,5502,1248,39924
Tractors and agri. implements,159,8,40,73,0,128,155,165,55
Industrial machinery(F & T),3254,577,738,4015,0,603,119,150,1995
Industrial machinery(others),718028,56279,35622,43945,1148,12571,14558,48925,17331
Machine tools,31054,2189,1162,2708,10,1858,757,513,1825
Other non-electrical machinery,798247,4820,21107,15173,3518,29826,3626,5791,2526
Electrical industrial Machinery,329,3,55,73,0,76,270,286,69
Electrical wires & cables,73,3,5,7,0,2,86,15,5
Batteries,71,0,20,43,0,11,25,12,6
Other electrical Machinery,6163,108,1735,2331,102,541,631,11379,2269
Electrical appliances,68085,7435,95,417,1,513,664,124,291
Electronic equipments(incl.TV),177355,132,1603,3043,115,438,6471,9673,2193
Watches and clocks,6613,0,2,0,0,113,6958,8608,1705
Communication equipment,33889,8278,260,1228,0,597,16318,19388,4102
Ships and boats,1540,450,22,0,0,0,0,4,5
Rail equipments,600339,174953,4709,10022,5,7164,4965,3579,4639
Motor vehicles,33114,5799,9009,21708,3,3625,34204,16614,40083
Motor cycles and scooters,0,0,263,87,0,0,146305,0,4
"Bicycles, cycle-rickshaw",3612,0,4,49,0,566,1536,7,10
Other transport equipments,0,0,0,0,0,0,17747,21954,4324
Aircraft & spacecraft,0,0,0,0,0,0,0,0,0
"Medical, precision&optical Instru.s",1652,462,149,318,0,18,1562,1925,425
Jems & jewelry,193,4,1835,73,3,5,1045,1423,269
